,rut,periodo,archive,predictor1_7,predictor1_8,predictor1_9,predictor1_10,predictor1_11,predictor1_12,ignite_ise,ind_compra_paga
0,PlDKtWGFBg,201909.0,20190930.0,551.0,506.0,506.0,640.0,681.0,640.0,D,0.0
1,MOAbr9v9ac,201810.0,20181031.0,,,,,,,C3,0.0
2,49L1vb3c2I,201909.0,20190930.0,544.0,675.0,675.0,749.0,749.0,749.0,D,0.0
3,7xM1iIFNCb,201812.0,20181231.0,,,,,,,E,0.0
4,e2ayZYSD59,201809.0,20180930.0,,,,,,,E,0.0
5,oguQ1DuRB7,201809.0,20180930.0,,,,,,,C3,0.0
6,6NhaGuat01,201906.0,20190630.0,516.0,562.0,516.0,649.0,690.0,,D,0.0
7,kC6MdTAGmL,201911.0,20191130.0,771.0,771.0,771.0,799.0,799.0,799.0,C2,0.0
8,r769oJFfmK,201909.0,20190930.0,182.0,112.0,180.0,348.0,348.0,348.0,E,0.0
9,frKoYseHIt,201906.0,20190630.0,652.0,648.0,648.0,515.0,424.0,,C3,0.0
10,b8rPjHHxoH,201812.0,20181231.0,,,,,,,C3,0.0
11,uRVTBn8y7S,201910.0,20191031.0,751.0,751.0,751.0,748.0,748.0,748.0,C3,0.0
12,5HmYrSgTRa,201909.0,20190930.0,643.0,679.0,753.0,753.0,679.0,679.0,C3,0.0
13,ZSiRWkqFku,201808.0,20180831.0,,,,,,,D,0.0
14,7mebv37zEw,201811.0,20181130.0,,,,,,,C3,0.0
15,Y9UDi7OzYc,201910.0,20191031.0,744.0,744.0,740.0,740.0,740.0,740.0,C3,0.0
16,fqew2BMtoN,201812.0,20181231.0,,,,,,,C1a,0.0
17,MKqs9cwAIH,201910.0,20191031.0,359.0,493.0,447.0,447.0,447.0,402.0,C3,0.0
18,Aw1pLWco1s,201912.0,20191231.0,729.0,729.0,795.0,691.0,608.0,603.0,D,0.0
19,WqssBJRzWQ,201812.0,20181231.0,,,,,,,D,0.0
20,kyLjE8PuRZ,201807.0,20180731.0,,,,,,,E,0.0
21,uXiEqeJqX2,202001.0,20200131.0,363.0,406.0,406.0,406.0,406.0,406.0,D,0.0
22,gtvBDEjfXL,201812.0,20181231.0,,,,,,,D,0.0
23,XPc8ckzkfb,201909.0,20190930.0,557.0,685.0,685.0,587.0,199.0,199.0,D,0.0
24,l0sOmjCqmD,202001.0,20200131.0,772.0,772.0,771.0,802.0,881.0,881.0,C2,0.0
25,UDMYoJ5Tsm,202003.0,20200331.0,683.0,683.0,599.0,599.0,554.0,642.0,D,0.0
26,FoQXaMp0nd,201911.0,20191130.0,775.0,704.0,741.0,741.0,741.0,741.0,D,0.0
27,TRdagJ8xPk,201907.0,20190731.0,423.0,418.0,181.0,242.0,242.0,357.0,E,0.0
28,X7sbcjYGo9,201908.0,20190831.0,755.0,755.0,788.0,787.0,787.0,787.0,C2,0.0
29,1TDL8mzRMQ,201902.0,20190228.0,563.0,,,,,,C3,0.0
30,E9UbCi8SqG,202002.0,20200229.0,757.0,757.0,757.0,722.0,722.0,643.0,E,0.0
31,YVtvU7Psd4,202002.0,20200229.0,591.0,591.0,500.0,500.0,500.0,635.0,D,0.0
32,GXVvCyfZop,201811.0,20181130.0,,,,,,,D,0.0
33,Z6arIO6pGc,202002.0,20200229.0,647.0,683.0,789.0,788.0,788.0,788.0,C2,0.0
