Historico de cotizaciones de YPFD;;;;;;;
;;;;;;;
Fecha Cotización;Apertura;Máximo;Mínimo;Cierre;Cierre ajustado;Volumen Monto;Volumen Nominal
06/26/2020;619.00;622.95;600.00;608.85;608.85;64,246,839.75;104,830.00
06/25/2020;605.05;625.00;600.15;618.45;618.45;62,791,109.15;102,732.00
06/24/2020;608.95;611.00;591.00;597.90;597.90;66,405,588.45;110,467.00
06/23/2020;613.05;624.90;608.65;611.10;611.10;125,013,430.75;202,079.00
06/22/2020;618.00;618.00;588.00;608.65;608.65;207,277,304.60;343,731.00
06/19/2020;591.05;633.00;591.05;621.85;621.85;158,440,310.75;257,290.00
06/18/2020;614.00;614.00;580.00;582.70;582.70;181,631,978.50;304,598.00
06/17/2020;655.00;667.00;615.00;623.10;623.10;84,078,534.25;131,582.00
06/16/2020;681.00;700.00;652.00;655.85;655.85;118,929,433.05;179,047.00
6/12/2020;703.00;715.00;640.00;669.70;669.70;231,288,563.40;339,821.00
6/11/2020;709.00;709.00;658.00;667.75;667.75;215,206,405.45;316,078.00
6/10/2020;717.50;734.95;704.00;725.20;725.20;230,061,540.55;319,660.00
6/9/2020;735.00;750.00;700.05;739.60;739.60;322,417,242.75;440,197.00
6/8/2020;690.05;760.00;690.05;753.05;753.05;340,524,380.05;476,343.00
6/5/2020;683.05;700.00;665.00;675.60;675.60;245,404,067.85;357,470.00
6/4/2020;670.00;683.95;645.00;668.75;668.75;258,477,659.10;386,960.00
6/3/2020;627.00;682.50;622.05;664.60;664.60;311,786,088.85;475,031.00
6/2/2020;600.00;630.00;595.00;626.60;626.60;181,099,888.60;298,349.00
6/1/2020;561.40;594.00;549.00;590.20;590.20;113,592,803.75;198,125.00
05/29/2020;569.00;569.00;525.00;561.40;561.40;125,814,629.45;227,784.00
05/28/2020;585.00;592.95;560.00;567.75;567.75;191,787,705.45;330,682.00
05/27/2020;575.00;598.00;563.00;589.90;589.90;191,104,694.20;332,347.00
05/26/2020;550.05;573.00;550.05;571.60;571.60;129,625,863.95;228,505.00
05/22/2020;543.95;560.25;530.00;548.60;548.60;176,711,359.85;324,068.00
05/21/2020;535.00;578.95;522.70;551.50;551.50;185,741,378.95;336,874.00
05/20/2020;533.00;541.70;522.00;533.30;533.30;127,346,697.35;239,277.00
05/19/2020;530.00;541.00;520.00;522.20;522.20;113,636,142.05;213,918.00
05/18/2020;527.50;542.00;514.00;527.25;527.25;154,637,244.45;293,546.00
05/15/2020;525.00;530.95;507.10;510.95;510.95;140,624,288.60;271,920.00
05/14/2020;486.00;518.00;481.00;510.20;510.20;209,396,289.70;410,774.00
05/13/2020;525.00;531.05;479.05;486.85;486.85;211,919,746.90;426,507.00
5/12/2020;515.00;545.00;515.00;519.65;519.65;252,138,250.00;474,102.00
5/11/2020;471.00;495.00;458.00;490.70;490.70;171,605,500.00;357,470.00
5/8/2020;470.10;490.00;470.10;477.80;477.80;152,883,172.50;319,914.00
